Status,Listing Office 1 - Office Code,Price,Days On Market,Approx Sq Ft,Status Date
SOLD,1600,"$448,000 ",15,700,6/1/17
SOLD,1623,"$1,500,000 ",10,2147,6/2/17
SOLD,1186,"$685,000 ",42,749,6/2/17
SOLD,1653,"$384,900 ",8,475,6/2/17
SOLD,1186,"$790,000 ",11,1331,6/2/17
SOLD,1623,"$915,000 ",8,1390,6/2/17
SOLD,151,"$455,000 ",12,678,6/2/17
SOLD,1623,"$725,000 ",11,1024,6/2/17
SOLD,1603,"$354,000 ",84,567,6/2/17
SOLD,1598,"$853,000 ",12,1012,6/4/17
SOLD,1623,"$547,500 ",6,800,6/4/17
SOLD,1549,"$830,000 ",13,1331,6/5/17
SOLD,1186,"$990,000 ",30,1200,6/5/17
SOLD,1623,"$665,000 ",9,850,6/5/17
SOLD,1623,"$575,000 ",7,857,6/5/17
SOLD,1635,"$660,000 ",6,1050,6/5/17
SOLD,156,"$850,000 ",6,1221,6/5/17
SOLD,1603,"$885,000 ",61,1354,6/6/17
SOLD,1186,"$635,000 ",8,735,6/6/17
SOLD,1481,"$440,000 ",11,725,6/7/17
SOLD,66,"$502,750 ",6,750,6/7/17
SOLD,1639,"$829,000 ",2,1184,6/7/17
SOLD,1635,"$915,000 ",6,1366,6/8/17
SOLD,5845,"$1,570,000 ",14,2300,6/8/17
SOLD,66,"$985,000 ",3,1155,6/8/17
SOLD,1641,"$657,300 ",10,880,6/9/17
SOLD,1623,"$680,000 ",18,1080,6/9/17
SOLD,1598,"$1,025,000 ",132,1368,6/9/17
SOLD,1623,"$477,000 ",61,647,6/10/17
SOLD,1598,"$1,350,000 ",8,1530,6/12/17
SOLD,1603,"$435,000 ",67,450,6/12/17
SOLD,1186,"$940,000 ",16,1388,6/13/17
SOLD,151,"$820,000 ",13,1295,6/13/17
SOLD,1703,"$1,030,000 ",8,1179,6/14/17
SOLD,1623,"$645,000 ",10,898,6/14/17
SOLD,1603,"$395,000 ",7,511,6/15/17
SOLD,1635,"$2,595,000 ",21,,6/15/17
SOLD,1603,"$529,000 ",8,750,6/15/17
SOLD,1623,"$499,000 ",16,634,6/15/17
SOLD,1603,"$1,675,000 ",71,,6/15/17
SOLD,1641,"$470,000 ",10,631,6/16/17
SOLD,1294,"$499,999 ",6,648,6/16/17
SOLD,1653,"$635,000 ",6,735,6/16/17
SOLD,1294,"$510,000 ",24,770,6/16/17
SOLD,5464,"$640,000 ",8,862,6/16/17
SOLD,5845,"$1,455,000 ",23,,6/16/17
SOLD,1186,"$410,000 ",7,685,6/16/17
SOLD,5678,"$1,099,000 ",8,,6/17/17
SOLD,5845,"$700,000 ",3,819,6/19/17
SOLD,64,"$1,799,000 ",15,,6/19/17
SOLD,5845,"$780,000 ",9,1283,6/19/17
SOLD,1186,"$600,000 ",20,929,6/19/17
SOLD,64,"$925,000 ",14,1306,6/19/17
SOLD,1626,"$2,200,000 ",10,1622,6/20/17
SOLD,1623,"$550,000 ",3,725,6/20/17
SOLD,1603,"$759,000 ",63,1142,6/20/17
SOLD,5845,"$1,875,000 ",49,,6/20/17
